bound,length,time(ms),swaps,jumps,partsSorted?
1.0E7, 776314.0, 1256.8474, 7342376.0, 4.3440211E7, absolutelyRandom
1.0E7, 998118.0, 1736.811499, 9661368.0, 5.7847903E7, absolutelyRandom
5.0, 10.0, 0.0012, 5.0, 45.0, someSorted
5.0, 30.0, 0.0024, 22.0, 258.0, someSorted
5.0, 50.0, 0.003301, 60.0, 523.0, someSorted
5.0, 70.0, 0.0042, 60.0, 800.0, someSorted
5.0, 90.0, 0.0058, 95.0, 1115.0, someSorted
5.0, 110.0, 0.007899, 137.0, 1462.0, someSorted
5.0, 330.0, 0.0268, 382.0, 5980.0, someSorted
5.0, 550.0, 0.050401, 828.0, 11038.0, someSorted
5.0, 770.0, 0.072799, 1036.0, 16968.0, someSorted
5.0, 990.0, 0.1387, 1249.0, 22785.0, someSorted
5.0, 1210.0, 0.117401, 1301.0, 29060.0, someSorted
5.0, 3630.0, 0.4414, 6059.0, 105194.0, someSorted
5.0, 6050.0, 0.789999, 9245.0, 193424.0, someSorted
5.0, 8066.0, 1.0932, 11794.0, 273974.0, someSorted
5.0, 10082.0, 1.3349, 12186.0, 342429.0, someSorted
5.0, 30246.0, 4.5911, 37972.0, 1178392.0, someSorted
5.0, 50410.0, 8.3857, 79714.0, 2115142.0, someSorted
5.0, 70574.0, 11.418299, 90515.0, 2961182.0, someSorted
5.0, 90738.0, 15.0165, 106556.0, 3988679.0, someSorted
5.0, 110902.0, 19.0634, 151600.0, 4985911.0, someSorted
5.0, 332706.0, 68.748699, 493940.0, 1.695378E7, someSorted
5.0, 554510.0, 114.5779, 668233.0, 2.8810719E7, someSorted
5.0, 776314.0, 160.155701, 880079.0, 4.1111272E7, someSorted
5.0, 998118.0, 219.6664, 1536494.0, 5.4853552E7, someSorted
10.0, 10.0, 7.99E-4, 2.0, 36.0, someSorted
10.0, 30.0, 0.0026, 36.0, 258.0, someSorted
10.0, 50.0, 0.003199, 44.0, 523.0, someSorted
10.0, 70.0, 0.0044, 72.0, 800.0, someSorted
10.0, 90.0, 0.0066, 130.0, 1115.0, someSorted
10.0, 110.0, 0.008299, 180.0, 1462.0, someSorted
10.0, 330.0, 0.0272, 415.0, 5980.0, someSorted
10.0, 550.0, 0.0516, 900.0, 11038.0, someSorted
10.0, 770.0, 0.0741, 1084.0, 16968.0, someSorted
10.0, 990.0, 0.094699, 1218.0, 22785.0, someSorted
10.0, 1210.0, 0.1229, 1526.0, 29060.0, someSorted
10.0, 3630.0, 0.4286, 5178.0, 105194.0, someSorted
10.0, 6050.0, 0.7528, 6099.0, 187375.0, someSorted
10.0, 8066.0, 1.0525, 11428.0, 265909.0, someSorted
10.0, 10082.0, 1.375199, 15271.0, 342429.0, someSorted
10.0, 30246.0, 4.7662, 49137.0, 1208637.0, someSorted
10.0, 50410.0, 7.946701, 64705.0, 2064733.0, someSorted
10.0, 70574.0, 11.197699, 80203.0, 2961182.0, someSorted
10.0, 90738.0, 15.317901, 125816.0, 3988679.0, someSorted
10.0, 110902.0, 20.5502, 206335.0, 5096812.0, someSorted
10.0, 332706.0, 68.838, 544073.0, 1.695378E7, someSorted
10.0, 554510.0, 114.5654, 688274.0, 2.8810719E7, someSorted
10.0, 776314.0, 165.265099, 1067069.0, 4.1887585E7, someSorted
10.0, 998118.0, 219.086, 1178410.0, 5.3855435E7, someSorted
100.0, 10.0, 9.0E-4, 6.0, 45.0, someSorted
100.0, 30.0, 0.0022, 31.0, 258.0, someSorted
100.0, 50.0, 0.0032, 56.0, 523.0, someSorted
100.0, 70.0, 0.0044, 75.0, 800.0, someSorted
100.0, 90.0, 0.005899, 83.0, 1115.0, someSorted
100.0, 110.0, 0.007099, 101.0, 1462.0, someSorted
100.0, 330.0, 0.030801, 495.0, 5980.0, someSorted
100.0, 550.0, 0.044999, 461.0, 11038.0, someSorted
100.0, 770.0, 0.0724, 965.0, 16968.0, someSorted
100.0, 990.0, 0.0938, 1125.0, 22785.0, someSorted
100.0, 1210.0, 0.125, 1779.0, 29060.0, someSorted
100.0, 3630.0, 0.4267, 4989.0, 105194.0, someSorted
100.0, 6050.0, 0.8026, 10405.0, 193424.0, someSorted
100.0, 8066.0, 1.106199, 14365.0, 265909.0, someSorted
100.0, 10082.0, 1.285901, 9729.0, 342429.0, someSorted
100.0, 30246.0, 4.6109, 40973.0, 1178392.0, someSorted
100.0, 50410.0, 8.223601, 74131.0, 2115142.0, someSorted
100.0, 70574.0, 11.7893, 102522.0, 3031755.0, someSorted
100.0, 90738.0, 15.4608, 128964.0, 3988679.0, someSorted
100.0, 110902.0, 19.6499, 154113.0, 5096812.0, someSorted
100.0, 332706.0, 67.6513, 492754.0, 1.695378E7, someSorted
100.0, 554510.0, 116.257499, 654276.0, 2.9365228E7, someSorted
100.0, 776314.0, 160.9897, 808413.0, 4.1111272E7, someSorted
